date,hospital,gender,age_group,review,sentiment
2025-04-06,مجمع الأمل الصحي,ذكر,51+,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-05-27,مركز الشفاء الطبي,أنثى,26-35,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2025-04-28,مجمع الأمل الصحي,ذكر,36-50,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2024-12-08,مركز الشفاء الطبي,ذكر,26-35,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-02-02,مستشفى المدينة الطبية,أنثى,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-05-05,مركز الشفاء الطبي,أنثى,26-35,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-05-29,مجمع الأمل الصحي,ذكر,18-25,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-05-10,مجمع الأمل الصحي,أنثى,26-35,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-05-16,عيادات الهدى التخصصية,ذكر,18-25,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2024-12-03,مستشفى الرحمة العام,أنثى,18-25,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-03-15,مستشفى المدينة الطبية,أنثى,36-50,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2024-12-13,مستشفى الرحمة العام,أنثى,26-35,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-01-08,مركز الشفاء الطبي,أنثى,51+,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2024-12-23,مجمع الأمل الصحي,أنثى,36-50,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-01-06,مستشفى الحياة,ذكر,26-35,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-05-30,مستشفى الحياة,أنثى,51+,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-01-11,مستشفى الحياة,أنثى,36-50,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-04-07,مستشفى المدينة الطبية,أنثى,26-35,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2024-12-04,عيادات الهدى التخصصية,أنثى,36-50,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-01-29,مستشفى الحياة,أنثى,36-50,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-05-08,مستشفى المدينة الطبية,ذكر,26-35,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-03-05,عيادات الهدى التخصصية,أنثى,51+,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-03-27,عيادات الهدى التخصصية,ذكر,26-35,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-02-27,مركز الشفاء الطبي,أنثى,51+,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2024-12-05,مستشفى المدينة الطبية,أنثى,51+,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-02-05,مستشفى الحياة,ذكر,36-50,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2025-03-01,مستشفى الحياة,أنثى,36-50,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-04-29,مستشفى الرحمة العام,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-02-18,مجمع الأمل الصحي,أنثى,26-35,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-03-03,مجمع الأمل الصحي,ذكر,36-50,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2024-12-10,مجمع الأمل الصحي,أنثى,18-25,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-02-04,مركز الشفاء الطبي,أنثى,18-25,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-03-06,مركز الشفاء الطبي,أنثى,36-50,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-02-03,مجمع الأمل الصحي,أنثى,51+,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-05-16,عيادات الهدى التخصصية,ذكر,18-25,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-05-16,مركز الشفاء الطبي,ذكر,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-03-03,مستشفى الحياة,أنثى,18-25,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2025-03-16,مستشفى الرحمة العام,ذكر,51+,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-05-16,مستشفى المدينة الطبية,أنثى,36-50,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-03-23,مركز الشفاء الطبي,ذكر,18-25,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2024-12-26,عيادات الهدى التخصصية,أنثى,36-50,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-03-07,مستشفى المدينة الطبية,ذكر,18-25,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-01-12,مجمع الأمل الصحي,أنثى,26-35,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-03-30,مركز الشفاء الطبي,ذكر,26-35,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-03-29,عيادات الهدى التخصصية,ذكر,36-50,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2024-12-11,مستشفى الحياة,ذكر,36-50,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-05-28,عيادات الهدى التخصصية,ذكر,18-25,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2024-12-07,مجمع الأمل الصحي,أنثى,18-25,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-03-25,مستشفى الرحمة العام,ذكر,36-50,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2024-12-02,مركز الشفاء الطبي,أنثى,18-25,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2024-12-03,عيادات الهدى التخصصية,أنثى,18-25,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-05-18,مستشفى الرحمة العام,أنثى,26-35,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-01-28,مجمع الأمل الصحي,أنثى,26-35,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-01-20,مستشفى المدينة الطبية,ذكر,36-50,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-03-17,مستشفى الحياة,أنثى,18-25,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2024-12-11,عيادات الهدى التخصصية,أنثى,51+,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2025-04-28,مركز الشفاء الطبي,أنثى,51+,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2024-12-11,عيادات الهدى التخصصية,أنثى,51+,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2024-12-09,مركز الشفاء الطبي,ذكر,26-35,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-05-26,مستشفى الحياة,ذكر,26-35,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-02-20,مستشفى الرحمة العام,ذكر,18-25,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-04-27,عيادات الهدى التخصصية,ذكر,18-25,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-03-27,عيادات الهدى التخصصية,ذكر,18-25,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2025-05-19,مجمع الأمل الصحي,ذكر,51+,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2024-12-17,مركز الشفاء الطبي,أنثى,26-35,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-05-20,مستشفى الحياة,ذكر,18-25,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2025-01-04,مستشفى الحياة,أنثى,18-25,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2025-02-13,مركز الشفاء الطبي,أنثى,36-50,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2024-12-07,مستشفى الرحمة العام,أنثى,51+,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-01-12,مستشفى الحياة,أنثى,36-50,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-02-23,مستشفى الرحمة العام,ذكر,51+,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2024-12-28,مستشفى الحياة,ذكر,51+,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2024-12-28,مركز الشفاء الطبي,ذكر,18-25,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2025-05-05,مجمع الأمل الصحي,ذكر,18-25,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-04-11,مستشفى المدينة الطبية,ذكر,26-35,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-03-08,مستشفى المدينة الطبية,ذكر,51+,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-05-13,مستشفى المدينة الطبية,ذكر,26-35,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-01-07,مجمع الأمل الصحي,ذكر,51+,منذ لحظة وصولي إلى المستشفى، شعرت بالاهتمام والراحة. الطاقم الطبي محترف جدًا، وتم استقبالي بسرعة، وتم شرح الإجراءات لي بطريقة مفصلة وواضحة. كانت تجربة استثنائية بكل المقاييس.,extremely_positive
2024-12-28,مجمع الأمل الصحي,أنثى,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-04-12,مركز الشفاء الطبي,أنثى,18-25,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-01-08,مستشفى الرحمة العام,أنثى,51+,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-02-06,عيادات الهدى التخصصية,ذكر,51+,العناية الطبية التي تلقيتها هنا لا تُقارن. الطاقم محترف ومتفهم، والأجهزة حديثة جدًا. أشكرهم جميعًا على الاهتمام الكبير.,extremely_positive
2025-02-21,مركز الشفاء الطبي,أنثى,51+,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-03-17,عيادات الهدى التخصصية,ذكر,18-25,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-05-16,عيادات الهدى التخصصية,ذكر,51+,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2024-12-22,مركز الشفاء الطبي,أنثى,18-25,العيادة كانت مرتبة، وتم استقبالي بسرعة. الطبيب كان لبقًا وأعطاني الوقت الكافي لشرح مشكلتي.,positive
2025-05-12,مستشفى المدينة الطبية,أنثى,26-35,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-02-12,مركز الشفاء الطبي,ذكر,36-50,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-03-23,مستشفى الرحمة العام,أنثى,26-35,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2024-12-12,مجمع الأمل الصحي,ذكر,26-35,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-02-15,مركز الشفاء الطبي,أنثى,18-25,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-04-05,عيادات الهدى التخصصية,ذكر,36-50,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2024-12-20,مستشفى الحياة,ذكر,18-25,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-02-05,مركز الشفاء الطبي,أنثى,26-35,الخدمة مقبولة ولكن تفتقر إلى التفاصيل الدقيقة في التواصل مع المريض.,normal
2025-03-01,عيادات الهدى التخصصية,ذكر,36-50,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-03-14,مستشفى الحياة,أنثى,51+,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-02-21,مجمع الأمل الصحي,ذكر,18-25,الإجراءات كانت فوضوية، والطبيب كان قاسيًا في التعامل ولم يشرح شيئًا.,extremely_negative
2025-03-01,مجمع الأمل الصحي,ذكر,36-50,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-03-27,مستشفى المدينة الطبية,أنثى,36-50,الإجراءات كانت فوضوية، والطبيب كان قاسيًا في التعامل ولم يشرح شيئًا.,extremely_negative
2025-01-30,مركز الشفاء الطبي,ذكر,18-25,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-01-27,مستشفى الرحمة العام,أنثى,18-25,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-03-07,مستشفى الرحمة العام,أنثى,26-35,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-01-07,مستشفى الحياة,ذكر,36-50,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-02-16,عيادات الهدى التخصصية,ذكر,26-35,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-01-17,مجمع الأمل الصحي,أنثى,18-25,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2024-12-28,مجمع الأمل الصحي,ذكر,18-25,تجربتي لم تكن مريحة، ولم أشعر بأن هناك اهتمامًا كافيًا من الطاقم.,negative
2025-02-12,عيادات الهدى التخصصية,أنثى,26-35,خرجت من العيادة دون أي فائدة، ولن أعود إلى هذا المكان مرة أخرى.,extremely_negative
2025-03-01,مجمع الأمل الصحي,ذكر,36-50,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2025-05-27,مركز الشفاء الطبي,ذكر,51+,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2024-12-13,مركز الشفاء الطبي,أنثى,26-35,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-04-20,مستشفى المدينة الطبية,أنثى,51+,الفحص كان سطحيًا جدًا ولم يتم إعطائي أي توجيهات بعده.,negative
2025-02-27,عيادات الهدى التخصصية,أنثى,18-25,الإجراءات كانت فوضوية، والطبيب كان قاسيًا في التعامل ولم يشرح شيئًا.,extremely_negative
2025-03-13,مستشفى الرحمة العام,أنثى,26-35,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2024-12-28,عيادات الهدى التخصصية,أنثى,51+,العيادة كانت مزدحمة نوعًا ما، لكن الخدمة كانت مقبولة.,neutral
2025-03-22,مستشفى المدينة الطبية,أنثى,18-25,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-04-25,مستشفى المدينة الطبية,ذكر,51+,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-05-21,مجمع الأمل الصحي,أنثى,26-35,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2024-12-21,مجمع الأمل الصحي,أنثى,51+,أسوأ تجربة مررت بها في حياتي. الطاقم لم يكن مهتمًا بحالتي، وتم تجاهلي لفترة طويلة.,extremely_negative
2025-02-11,مستشفى المدينة الطبية,ذكر,26-35,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2025-05-03,مستشفى المدينة الطبية,ذكر,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-05-07,عيادات الهدى التخصصية,ذكر,51+,الموعد تم في وقته، ولكن لم أشعر بالاهتمام الكامل.,normal
2025-02-01,عيادات الهدى التخصصية,أنثى,51+,الخدمة لا بأس بها، لكن لا يوجد اهتمام خاص.,neutral
2024-12-30,مجمع الأمل الصحي,أنثى,51+,كان بإمكان الطاقم أن يكون أكثر تفاعلًا. الخدمة أساسية فقط.,normal
2025-04-15,مجمع الأمل الصحي,ذكر,51+,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-04-07,مركز الشفاء الطبي,أنثى,36-50,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-05-01,مستشفى المدينة الطبية,أنثى,51+,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-02-01,مركز الشفاء الطبي,أنثى,18-25,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2025-04-19,مستشفى المدينة الطبية,ذكر,51+,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2025-05-11,عيادات الهدى التخصصية,ذكر,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2024-12-25,مركز الشفاء الطبي,أنثى,36-50,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-02-02,مستشفى الرحمة العام,أنثى,51+,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2025-04-20,مجمع الأمل الصحي,ذكر,18-25,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-04-13,عيادات الهدى التخصصية,أنثى,26-35,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-04-05,مستشفى الرحمة العام,ذكر,36-50,أعجبتني سرعة التنظيم ونظافة المكان. الطبيب كان محترمًا وأجاب عن أسئلتي.,positive
2024-12-29,مستشفى المدينة الطبية,أنثى,36-50,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-03-02,مستشفى الحياة,ذكر,26-35,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-03-19,مجمع الأمل الصحي,أنثى,51+,الخدمة جيدة، والمكان مريح. الممرضات كن متعاونات جدًا وتم إجراء الفحوصات بسلاسة.,positive
2025-05-07,مستشفى الرحمة العام,ذكر,18-25,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-02-10,مجمع الأمل الصحي,أنثى,51+,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-02-08,عيادات الهدى التخصصية,ذكر,36-50,أشكر الطبيب وفريق التمريض على الرعاية الممتازة. تمت متابعتي بشكل يومي وتلقيت تعليمات واضحة ومفيدة عن حالتي الصحية. النظافة، التنظيم، والتعامل الإنساني جعلوا التجربة رائعة.,extremely_positive
2025-02-04,مستشفى الرحمة العام,ذكر,18-25,المكان نظيف جدًا، والطبيب كان صبورًا وأجاب على كل أسئلتي بكل لطف. أشعر بالرضا التام عن زيارتي.,extremely_positive
2024-12-30,مستشفى المدينة الطبية,أنثى,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-05-20,مستشفى الحياة,أنثى,18-25,شعرت أنني مجرد رقم في النظام. لا يوجد أي نوع من التعاطف أو التوضيح.,extremely_negative
2025-03-08,عيادات الهدى التخصصية,أنثى,26-35,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-03-08,مستشفى الرحمة العام,ذكر,18-25,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-05-25,مستشفى الحياة,ذكر,26-35,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-04-15,مجمع الأمل الصحي,ذكر,51+,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-04-04,مجمع الأمل الصحي,أنثى,51+,العيادة كانت غير منظمة، وتم تأخيري رغم وصولي في الموعد المحدد.,negative
2025-03-15,عيادات الهدى التخصصية,أنثى,51+,الزيارة كانت روتينية، لم ألاحظ شيئًا مميزًا أو سيئًا.,neutral
2025-04-11,مجمع الأمل الصحي,أنثى,36-50,المكان غير نظيف، والانتظار غير مبرر، وغياب التنسيق واضح.,extremely_negative
2025-01-14,مركز الشفاء الطبي,أنثى,51+,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-01-22,مستشفى الرحمة العام,ذكر,36-50,الانتظار طال أكثر من ساعة دون أي تفسير من الموظفين. شعرت بالإهمال.,negative
2025-04-07,مجمع الأمل الصحي,ذكر,18-25,الموعد تم في وقته، لكن شعرت أن الفحص كان سريعًا أكثر من اللازم.,neutral
2025-05-03,مركز الشفاء الطبي,ذكر,51+,الطبيب لم يكن واضحًا في الشرح، مما زاد من قلقي على حالتي الصحية.,negative
2025-01-23,عيادات الهدى التخصصية,أنثى,26-35,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-01-02,مستشفى المدينة الطبية,أنثى,51+,الزيارة كانت جيدة بشكل عام، ولم أواجه أي مشاكل تُذكر. بالتأكيد سأعود في المستقبل.,positive
2025-02-07,مجمع الأمل الصحي,أنثى,51+,تجربتي كانت عادية، لا تتضمن سلبيات أو إيجابيات واضحة.,neutral
2025-04-19,عيادات الهدى التخصصية,ذكر,18-25,الخدمة كانت فوق التوقعات. تم إجراء العملية بنجاح تام، والطبيب كان يتابع حالتي باستمرار بعد العملية. شعرت بالأمان والاهتمام في كل لحظة.,extremely_positive
2025-01-23,مستشفى الرحمة العام,أنثى,26-35,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
2025-04-29,مستشفى الرحمة العام,ذكر,36-50,لم تكن التجربة سيئة، لكنها لم تكن مميزة أيضًا. الطبيب قام بواجبه فقط.,normal
2024-12-16,مستشفى الحياة,ذكر,26-35,تم تحديد الموعد بدقة، وكان الطبيب واضحًا جدًا في شرحه، مما ساعدني في فهم حالتي جيدًا.,positive
2025-01-06,مركز الشفاء الطبي,ذكر,18-25,الزيارة كانت أقرب إلى الأداء الروتيني دون تفاعل حقيقي من الفريق.,normal
